Level	Rogue	Druid	Hunter	Mage	Paladin	Priest	Shaman	Warlock	Warrior	Death Knight	Monk	Demon Hunter	Item	Consumable	Gem1	Gem2	Gem3	Health
1	0	0	0	0	0	0	0	0	0	0	0	0	3	360	5	6	8	154
2	0	0	0	0	0	0	0	0	0	0	0	0	3	360	5	6	8	168
3	0	0	0	0	0	0	0	0	0	0	0	0	4	360	5	6	8	180
4	0	0	0	0	0	0	0	0	0	0	0	0	4	360	5	6	8	208
5	0	0	0	0	0	0	0	0	0	0	0	0	5	360	5	6	8	357
6	0	0	0	0	0	0	0	0	0	0	0	0	6	870	5	6	8	504
7	0	0	0	0	0	0	0	0	0	0	0	0	6	870	5	6	8	522
8	0	0	0	0	0	0	0	0	0	0	0	0	7	870	5	6	8	684
9	0	0	0	0	0	0	0	0	0	0	0	0	7	870	5	6	8	702
10	0	0	0	0	0	0	0	0	0	0	0	0	8	870	5	6	8	864
11	0	0	0	0	0	0	0	0	0	0	0	0	8	1300	5	6	8	882
12	0	0	0	0	0	0	0	0	0	0	0	0	9	1300	5	6	8	1062
13	0	0	0	0	0	0	0	0	0	0	0	0	9	1300	5	6	8	1098
14	0	0	0	0	0	0	0	0	0	0	0	0	10	1300	5	6	8	1260
15	0	0	0	0	0	0	0	0	0	0	0	0	10	1300	5	6	8	1278
16	0	0	0	0	0	0	0	0	0	0	0	0	11	2000	5	6	8	1458
17	0	0	0	0	0	0	0	0	0	0	0	0	11	2000	5	6	8	1494
18	0	0	0	0	0	0	0	0	0	0	0	0	12	2000	5	6	8	1674
19	0	0	0	0	0	0	0	0	0	0	0	0	12	2000	5	6	8	1805
20	0	0	0	0	0	0	0	0	0	0	0	0	13	2000	5	6	8	1995
21	0	0	0	0	0	0	0	0	0	0	0	0	13	2900	5	6	8	2120
22	0	0	0	0	0	0	0	0	0	0	0	0	14	2900	5	6	8	2320
23	0	0	0	0	0	0	0	0	0	0	0	0	14	2900	5	6	8	2360
24	0	0	0	0	0	0	0	0	0	0	0	0	15	2900	5	6	8	2560
25	0	0	0	0	0	0	0	0	0	0	0	0	15	2900	5	6	8	2860
26	0	0	0	0	0	0	0	0	0	0	0	0	16	3900	5	6	8	3080
27	0	0	0	0	0	0	0	0	0	0	0	0	16	3900	5	6	8	3102
28	0	0	0	0	0	0	0	0	0	0	0	0	17	3900	5	6	8	3344
29	0	0	0	0	0	0	0	0	0	0	0	0	17	3900	5	6	8	3696
30	0	0	0	0	0	0	0	0	0	0	0	0	18	3900	5	6	8	3888
31	0	0	0	0	0	0	0	0	0	0	0	0	18	4900	5	6	8	3936
32	0	0	0	0	0	0	0	0	0	0	0	0	19	4900	5	6	8	4176
33	0	0	0	0	0	0	0	0	0	0	0	0	19	4900	5	6	8	4375
34	0	0	0	0	0	0	0	0	0	0	0	0	20	4900	5	6	8	4675
35	0	0	0	0	0	0	0	0	0	0	0	0	20	4900	5	6	8	4888
36	0	0	0	0	0	0	0	0	0	0	0	0	21	6200	5	6	8	5148
37	0	0	0	0	0	0	0	0	0	0	0	0	21	6200	5	6	8	5200
38	0	0	0	0	0	0	0	0	0	0	0	0	22	6200	5	6	8	5434
39	0	0	0	0	0	0	0	0	0	0	0	0	22	6200	5	6	8	5880
40	0	0	0	0	0	0	0	0	0	0	0	0	23	6200	5	6	8	6188
41	0	0	0	0	0	0	0	0	0	0	0	0	23	7400	5	6	8	6244
42	0	0	0	0	0	0	0	0	0	0	0	0	24	7400	5	6	8	6496
43	0	0	0	0	0	0	0	0	0	0	0	0	24	7400	5	6	8	6786
44	0	0	0	0	0	0	0	0	0	0	0	0	25	7400	5	6	8	7076
45	0	0	0	0	0	0	0	0	0	0	0	0	25	7400	5	6	8	7380
46	0	0	0	0	0	0	0	0	0	0	0	0	26	9000	5	6	8	7680
47	0	0	0	0	0	0	0	0	0	0	0	0	26	9000	5	6	8	7998
48	0	0	0	0	0	0	0	0	0	0	0	0	27	9000	5	6	8	8277
49	0	0	0	0	0	0	0	0	0	0	0	0	27	9000	5	6	8	8608
50	0	0	0	0	0	0	0	0	0	0	0	0	28	9000	5	6	8	8928
51	0	0	0	0	0	0	0	0	0	0	0	0	28	10500	5	6	8	9240
52	0	0	0	0	0	0	0	0	0	0	0	0	29	10500	5	6	8	9603
53	0	0	0	0	0	0	0	0	0	0	0	0	29	10500	5	6	8	9669
54	0	0	0	0	0	0	0	0	0	0	0	0	30	10500	5	6	8	10234
55	0	0	0	0	0	0	0	0	0	0	0	0	30	10500	5	6	8	10302
56	0	0	0	0	0	0	0	0	0	0	0	0	31	12500	5	6	8	10676
57	0	0	0	0	0	0	0	0	0	0	0	0	31	12500	5	6	8	11025
58	0	0	0	0	0	0	0	0	0	0	0	0	32	12500	5	6	8	11375
59	0	0	0	0	0	0	0	0	0	0	0	0	32	12500	5	6	8	11772
60	0	0	0	0	0	0	0	0	0	0	0	0	33	12500	5	6	8	12096
61	0	0	0	0	0	0	0	0	0	0	0	0	35	15500	6	8	10	12960
62	0	0	0	0	0	0	0	0	0	0	0	0	37	15500	6	8	10	13788
63	0	0	0	0	0	0	0	0	0	0	0	0	39	15500	6	8	10	14616
64	0	0	0	0	0	0	0	0	0	0	0	0	39	15500	6	8	10	14688
65	0	0	0	0	0	0	0	0	0	0	0	0	40	15500	6	8	10	15084
66	0	0	0	0	0	0	0	0	0	0	0	0	40	17000	6	8	10	15120
67	0	0	0	0	0	0	0	0	0	0	0	0	41	17000	6	8	10	15444
68	0	0	0	0	0	0	0	0	0	0	0	0	41	17000	6	8	10	15516
69	0	0	0	0	0	0	0	0	0	0	0	0	42	17000	6	8	10	16280
70	0	0	0	0	0	0	0	0	0	0	0	0	43	17000	6	8	10	16872
71	0	0	0	0	0	0	0	0	0	0	0	0	45	20500	6	8	10	17575
72	0	0	0	0	0	0	0	0	0	0	0	0	47	20500	6	8	10	18463
73	0	0	0	0	0	0	0	0	0	0	0	0	49	20500	6	8	10	19314
74	0	0	0	0	0	0	0	0	0	0	0	0	49	20500	6	8	10	19351
75	0	0	0	0	0	0	0	0	0	0	0	0	50	20500	6	8	10	20254
76	0	0	0	0	0	0	0	0	0	0	0	0	50	24500	6	8	10	20865
77	0	0	0	0	0	0	0	0	0	0	0	0	51	24500	6	8	10	21800
78	0	0	0	0	0	0	0	0	0	0	0	0	51	24500	6	8	10	22974
79	0	0	0	0	0	0	0	0	0	0	0	0	52	24500	6	8	10	23436
80	0	0	0	0	0	0	0	0	0	0	0	0	52	24500	6	8	10	24424
81	0	0	0	0	0	0	0	0	0	0	0	0	54	30000	6	8	10	25456
82	0	0	0	0	0	0	0	0	0	0	0	0	56	30000	6	8	10	26402
83	0	0	0	0	0	0	0	0	0	0	0	0	57	30000	6	8	10	27588
84	0	0	0	0	0	0	0	0	0	0	0	0	57	30000	6	8	10	28888
85	0	0	0	0	0	0	0	0	0	0	0	0	58	30000	6	8	10	29986
