Level	Warrior	Paladin	Hunter	Rogue	Priest	Death Knight	Shaman	Mage	Warlock	Monk	Druid
1	0.002500	0.002174	0.002840	0.004476	0.000909	0.010000	0.001663	0.000771	0.001500	0.010000	0.002020
2	0.002381	0.002070	0.002834	0.004290	0.000909	0.010000	0.001663	0.000771	0.001500	0.010000	0.002020
3	0.002381	0.002070	0.002711	0.004118	0.000909	0.010000	0.001583	0.000771	0.001429	0.010000	0.001923
4	0.002273	0.001976	0.002530	0.003813	0.000865	0.010000	0.001583	0.000735	0.001429	0.010000	0.001923
5	0.002174	0.001976	0.002430	0.003677	0.000865	0.010000	0.001511	0.000735	0.001429	0.010000	0.001836
6	0.002083	0.001890	0.002337	0.003550	0.000865	0.010000	0.001511	0.000735	0.001364	0.010000	0.001836
7	0.002083	0.001890	0.002251	0.003321	0.000865	0.010000	0.001511	0.000735	0.001364	0.010000	0.001756
8	0.002000	0.001812	0.002171	0.003217	0.000826	0.010000	0.001446	0.000735	0.001364	0.010000	0.001756
9	0.001923	0.001812	0.002051	0.003120	0.000826	0.010000	0.001446	0.000735	0.001304	0.010000	0.001683
10	0.001923	0.001739	0.001984	0.002941	0.000826	0.010000	0.001385	0.000701	0.001304	0.010000	0.001553
11	0.001852	0.001739	0.001848	0.002640	0.000826	0.010000	0.001385	0.000701	0.001250	0.010000	0.001496
12	0.001786	0.001672	0.001670	0.002394	0.000790	0.010000	0.001330	0.000701	0.001250	0.010000	0.001496
13	0.001667	0.001553	0.001547	0.002145	0.000790	0.010000	0.001330	0.000701	0.001250	0.010000	0.001443
14	0.001613	0.001553	0.001441	0.001980	0.000790	0.010000	0.001279	0.000701	0.001200	0.010000	0.001443
15	0.001563	0.001449	0.001330	0.001775	0.000790	0.010000	0.001231	0.000671	0.001154	0.010000	0.001346
16	0.001515	0.001449	0.001267	0.001660	0.000757	0.010000	0.001188	0.000671	0.001111	0.010000	0.001346
17	0.001471	0.001403	0.001194	0.001560	0.000757	0.010000	0.001188	0.000671	0.001111	0.010000	0.001303
18	0.001389	0.001318	0.001117	0.001450	0.000757	0.010000	0.001147	0.000671	0.001111	0.010000	0.001262
19	0.001351	0.001318	0.001060	0.001355	0.000727	0.010000	0.001147	0.000671	0.001071	0.010000	0.001262
20	0.001282	0.001242	0.000998	0.001271	0.000727	0.010000	0.001073	0.000643	0.001034	0.010000	0.001122
21	0.001282	0.001208	0.000962	0.001197	0.000727	0.010000	0.001073	0.000643	0.001000	0.010000	0.001122
22	0.001250	0.001208	0.000910	0.001144	0.000727	0.010000	0.001039	0.000643	0.001000	0.010000	0.001092
23	0.001190	0.001144	0.000872	0.001084	0.000699	0.010000	0.001039	0.000643	0.000968	0.010000	0.001063
24	0.001163	0.001115	0.000829	0.001040	0.000699	0.010000	0.001008	0.000617	0.000968	0.010000	0.001063
25	0.001111	0.001087	0.000797	0.000980	0.000699	0.010000	0.000978	0.000617	0.000909	0.010000	0.001010
26	0.001087	0.001060	0.000767	0.000936	0.000673	0.010000	0.000950	0.000617	0.000909	0.010000	0.001010
27	0.001064	0.001035	0.000734	0.000903	0.000673	0.010000	0.000950	0.000617	0.000909	0.010000	0.000985
28	0.001020	0.001011	0.000709	0.000865	0.000673	0.010000	0.000924	0.000617	0.000882	0.010000	0.000962
29	0.001000	0.000988	0.000680	0.000830	0.000649	0.010000	0.000924	0.000593	0.000882	0.010000	0.000962
30	0.000962	0.000945	0.000654	0.000792	0.000649	0.010000	0.000875	0.000593	0.000833	0.010000	0.000878
31	0.000943	0.000925	0.000637	0.000768	0.000649	0.010000	0.000875	0.000593	0.000833	0.010000	0.000859
32	0.000926	0.000925	0.000614	0.000741	0.000627	0.010000	0.000853	0.000593	0.000811	0.010000	0.000859
33	0.000893	0.000887	0.000592	0.000715	0.000627	0.010000	0.000831	0.000571	0.000811	0.010000	0.000841
34	0.000877	0.000870	0.000575	0.000691	0.000627	0.010000	0.000831	0.000571	0.000789	0.010000	0.000824
35	0.000847	0.000836	0.000556	0.000664	0.000606	0.010000	0.000792	0.000571	0.000769	0.010000	0.000808
36	0.000833	0.000820	0.000541	0.000643	0.000606	0.010000	0.000773	0.000551	0.000750	0.010000	0.000792
37	0.000820	0.000820	0.000524	0.000628	0.000606	0.010000	0.000773	0.000551	0.000732	0.010000	0.000777
38	0.000794	0.000791	0.000508	0.000609	0.000586	0.010000	0.000756	0.000551	0.000732	0.010000	0.000777
39	0.000781	0.000776	0.000493	0.000592	0.000586	0.010000	0.000756	0.000551	0.000714	0.010000	0.000762
40	0.000758	0.000750	0.000481	0.000572	0.000586	0.010000	0.000723	0.000532	0.000698	0.010000	0.000709
41	0.000735	0.000737	0.000470	0.000556	0.000568	0.010000	0.000707	0.000532	0.000682	0.010000	0.000696
42	0.000725	0.000737	0.000457	0.000542	0.000568	0.010000	0.000707	0.000532	0.000682	0.010000	0.000696
43	0.000704	0.000713	0.000444	0.000528	0.000551	0.010000	0.000693	0.000532	0.000667	0.010000	0.000685
44	0.000694	0.000701	0.000433	0.000512	0.000551	0.010000	0.000679	0.000514	0.000667	0.010000	0.000673
45	0.000676	0.000679	0.000421	0.000497	0.000551	0.010000	0.000665	0.000514	0.000638	0.010000	0.000651
46	0.000667	0.000669	0.000413	0.000486	0.000534	0.010000	0.000652	0.000514	0.000625	0.010000	0.000641
47	0.000649	0.000659	0.000402	0.000474	0.000534	0.010000	0.000639	0.000498	0.000625	0.010000	0.000641
48	0.000633	0.000639	0.000391	0.000464	0.000519	0.010000	0.000627	0.000498	0.000612	0.010000	0.000631
49	0.000625	0.000630	0.000382	0.000454	0.000519	0.010000	0.000627	0.000498	0.000600	0.010000	0.000621
50	0.000610	0.000612	0.000373	0.000440	0.000519	0.010000	0.000605	0.000482	0.000588	0.010000	0.000585
51	0.000595	0.000604	0.000366	0.000431	0.000505	0.010000	0.000594	0.000482	0.000577	0.010000	0.000577
52	0.000588	0.000596	0.000358	0.000422	0.000505	0.010000	0.000583	0.000482	0.000577	0.010000	0.000569
53	0.000575	0.000580	0.000350	0.000412	0.000491	0.010000	0.000583	0.000467	0.000566	0.010000	0.000561
54	0.000562	0.000572	0.000341	0.000404	0.000491	0.010000	0.000573	0.000467	0.000556	0.010000	0.000561
55	0.000549	0.000557	0.000334	0.000394	0.000478	0.010000	0.000554	0.000467	0.000545	0.010000	0.000546
56	0.000543	0.000550	0.000328	0.000386	0.000478	0.010000	0.000545	0.000454	0.000536	0.010000	0.000539
57	0.000532	0.000544	0.000321	0.000378	0.000466	0.010000	0.000536	0.000454	0.000526	0.010000	0.000531
58	0.000521	0.000530	0.000314	0.000370	0.000466	0.010000	0.000536	0.000454	0.000517	0.010000	0.000525
59	0.000510	0.000524	0.000307	0.000364	0.000454	0.010000	0.000528	0.000441	0.000517	0.010000	0.000518
60	0.000500	0.000512	0.000301	0.000355	0.000454	0.010000	0.000512	0.000441	0.000500	0.010000	0.000493
61	0.000469	0.000491	0.000297	0.000334	0.000443	0.010000	0.000496	0.000435	0.000484	0.010000	0.000478
62	0.000442	0.000483	0.000290	0.000322	0.000444	0.010000	0.000486	0.000432	0.000481	0.010000	0.000472
63	0.000418	0.000472	0.000284	0.000307	0.000441	0.010000	0.000470	0.000424	0.000470	0.010000	0.000456
64	0.000397	0.000456	0.000279	0.000296	0.000433	0.010000	0.000456	0.000423	0.000455	0.010000	0.000447
65	0.000377	0.000446	0.000273	0.000286	0.000426	0.010000	0.000449	0.000422	0.000448	0.010000	0.000438
66	0.000360	0.000437	0.000270	0.000276	0.000419	0.010000	0.000437	0.000411	0.000435	0.010000	0.000430
67	0.000344	0.000425	0.000264	0.000268	0.000414	0.010000	0.000427	0.000412	0.000436	0.010000	0.000424
68	0.000329	0.000416	0.000259	0.000262	0.000412	0.010000	0.000417	0.000408	0.000424	0.010000	0.000412
