Level	Poor	Standard	Good	Superior	Epic	Legendary	Artifact
1	1.000000	1.000000	1.000000	2.000000	3.000000	3.000000	3.000000
2	1.000000	1.000000	1.000000	3.000000	4.000000	4.000000	4.000000
3	1.000000	1.000000	1.000000	3.000000	4.000000	4.000000	4.000000
4	1.000000	1.000000	2.000000	3.000000	4.000000	4.000000	4.000000
5	1.000000	1.000000	2.000000	4.000000	6.000000	6.000000	6.000000
6	1.000000	2.000000	2.000000	4.000000	6.000000	6.000000	6.000000
7	1.000000	2.000000	3.000000	4.000000	6.000000	6.000000	6.000000
8	1.000000	2.000000	3.000000	5.000000	7.000000	7.000000	7.000000
9	1.000000	3.000000	3.000000	5.000000	7.000000	7.000000	7.000000
10	1.000000	3.000000	4.000000	5.000000	7.000000	7.000000	7.000000
11	2.000000	3.000000	4.000000	6.000000	9.000000	9.000000	9.000000
12	2.000000	4.000000	4.000000	6.000000	9.000000	9.000000	9.000000
13	2.000000	4.000000	5.000000	6.000000	9.000000	9.000000	9.000000
14	3.000000	4.000000	5.000000	7.000000	10.000000	10.000000	10.000000
15	3.000000	5.000000	5.000000	7.000000	10.000000	10.000000	10.000000
16	3.000000	5.000000	6.000000	7.000000	10.000000	10.000000	10.000000
17	4.000000	5.000000	6.000000	8.000000	11.000000	11.000000	11.000000
18	4.000000	6.000000	6.000000	8.000000	11.000000	11.000000	11.000000
19	4.000000	6.000000	7.000000	9.000000	13.000000	13.000000	13.000000
20	5.000000	6.000000	7.000000	9.000000	13.000000	13.000000	13.000000
21	5.000000	7.000000	7.000000	9.000000	13.000000	13.000000	13.000000
22	5.000000	7.000000	8.000000	10.000000	14.000000	14.000000	14.000000
23	6.000000	7.000000	8.000000	10.000000	14.000000	14.000000	14.000000
24	6.000000	8.000000	9.000000	11.000000	16.000000	16.000000	16.000000
25	6.000000	8.000000	9.000000	11.000000	16.000000	16.000000	16.000000
26	7.000000	9.000000	9.000000	12.000000	17.000000	17.000000	17.000000
27	7.000000	9.000000	10.000000	12.000000	17.000000	17.000000	17.000000
28	7.000000	9.000000	10.000000	13.000000	19.000000	19.000000	19.000000
29	8.000000	10.000000	11.000000	13.000000	19.000000	19.000000	19.000000
30	8.000000	10.000000	11.000000	14.000000	20.000000	20.000000	20.000000
31	9.000000	11.000000	12.000000	14.000000	20.000000	20.000000	20.000000
32	9.000000	11.000000	12.000000	15.000000	21.000000	21.000000	21.000000
33	9.000000	12.000000	13.000000	15.000000	21.000000	21.000000	21.000000
34	10.000000	12.000000	13.000000	16.000000	23.000000	23.000000	23.000000
35	10.000000	13.000000	14.000000	17.000000	24.000000	24.000000	24.000000
36	11.000000	13.000000	14.000000	17.000000	24.000000	24.000000	24.000000
37	11.000000	14.000000	15.000000	18.000000	26.000000	26.000000	26.000000
38	12.000000	14.000000	15.000000	19.000000	27.000000	27.000000	27.000000
39	12.000000	15.000000	16.000000	20.000000	28.000000	28.000000	28.000000
40	13.000000	15.000000	17.000000	20.000000	28.000000	28.000000	28.000000
41	13.000000	16.000000	17.000000	21.000000	30.000000	30.000000	30.000000
42	14.000000	17.000000	18.000000	22.000000	31.000000	31.000000	31.000000
43	14.000000	17.000000	19.000000	23.000000	33.000000	33.000000	33.000000
44	15.000000	18.000000	20.000000	23.000000	33.000000	33.000000	33.000000
45	15.000000	19.000000	20.000000	24.000000	34.000000	34.000000	34.000000
46	16.000000	20.000000	21.000000	25.000000	36.000000	36.000000	36.000000
47	17.000000	20.000000	22.000000	26.000000	37.000000	37.000000	37.000000
48	17.000000	21.000000	23.000000	27.000000	38.000000	38.000000	38.000000
49	18.000000	22.000000	23.000000	28.000000	40.000000	40.000000	40.000000
50	19.000000	23.000000	24.000000	29.000000	41.000000	41.000000	41.000000
51	20.000000	23.000000	25.000000	30.000000	43.000000	43.000000	43.000000
52	20.000000	24.000000	26.000000	31.000000	44.000000	44.000000	44.000000
53	21.000000	25.000000	27.000000	32.000000	46.000000	46.000000	46.000000
54	22.000000	26.000000	28.000000	33.000000	47.000000	47.000000	47.000000
55	23.000000	27.000000	29.000000	34.000000	48.000000	48.000000	48.000000
56	23.000000	28.000000	30.000000	35.000000	50.000000	50.000000	50.000000
57	24.000000	29.000000	31.000000	36.000000	51.000000	51.000000	51.000000
58	25.000000	30.000000	32.000000	36.000000	51.000000	51.000000	51.000000
59	26.000000	31.000000	33.000000	37.000000	53.000000	53.000000	53.000000
60	27.000000	32.000000	34.000000	38.000000	54.000000	54.000000	54.000000
61	28.000000	33.000000	35.000000	38.000000	54.000000	54.000000	54.000000
62	29.000000	34.000000	36.000000	39.000000	56.000000	56.000000	56.000000
63	30.000000	35.000000	36.000000	40.000000	57.000000	57.000000	57.000000
64	31.000000	36.000000	37.000000	40.000000	57.000000	57.000000	57.000000
65	32.000000	36.000000	38.000000	41.000000	58.000000	58.000000	58.000000
66	33.000000	37.000000	38.000000	42.000000	60.000000	60.000000	60.000000
67	34.000000	38.000000	39.000000	42.000000	60.000000	60.000000	60.000000
68	35.000000	38.000000	40.000000	43.000000	61.000000	61.000000	61.000000
69	36.000000	39.000000	40.000000	44.000000	63.000000	63.000000	63.000000
70	36.000000	40.000000	41.000000	44.000000	63.000000	63.000000	63.000000
71	37.000000	40.000000	42.000000	45.000000	64.000000	64.000000	64.000000
72	38.000000	41.000000	42.000000	46.000000	66.000000	66.000000	66.000000
73	38.000000	42.000000	43.000000	47.000000	67.000000	67.000000	67.000000
74	39.000000	42.000000	44.000000	47.000000	67.000000	67.000000	67.000000
75	40.000000	43.000000	44.000000	48.000000	68.000000	68.000000	68.000000
76	40.000000	44.000000	45.000000	49.000000	70.000000	70.000000	70.000000
77	41.000000	44.000000	46.000000	50.000000	71.000000	71.000000	71.000000
78	42.000000	45.000000	47.000000	51.000000	73.000000	73.000000	73.000000
79	42.000000	46.000000	47.000000	51.000000	73.000000	73.000000	73.000000
80	43.000000	47.000000	48.000000	52.000000	74.000000	74.000000	74.000000
81	44.000000	47.000000	49.000000	53.000000	75.000000	75.000000	75.000000
82	44.000000	48.000000	50.000000	54.000000	77.000000	77.000000	77.000000
83	45.000000	49.000000	51.000000	55.000000	78.000000	78.000000	78.000000
84	46.000000	50.000000	51.000000	55.000000	78.000000	78.000000	78.000000
85	47.000000	51.000000	52.000000	56.000000	80.000000	80.000000	80.000000
86	47.000000	51.000000	53.000000	57.000000	81.000000	81.000000	81.000000
87	48.000000	52.000000	54.000000	58.000000	83.000000	83.000000	83.000000
88	49.000000	53.000000	55.000000	59.000000	84.000000	84.000000	84.000000
89	50.000000	54.000000	55.000000	60.000000	85.000000	85.000000	85.000000
90	51.000000	55.000000	56.000000	61.000000	87.000000	87.000000	87.000000
91	51.000000	55.000000	57.000000	62.000000	88.000000	88.000000	88.000000
92	52.000000	56.000000	58.000000	63.000000	90.000000	90.000000	90.000000
93	53.000000	57.000000	59.000000	64.000000	91.000000	91.000000	91.000000
94	54.000000	58.000000	60.000000	65.000000	93.000000	93.000000	93.000000
95	55.000000	59.000000	61.000000	66.000000	94.000000	94.000000	94.000000
96	55.000000	60.000000	62.000000	67.000000	95.000000	95.000000	95.000000
97	56.000000	61.000000	63.000000	68.000000	97.000000	97.000000	97.000000
98	57.000000	62.000000	64.000000	69.000000	98.000000	98.000000	98.000000
99	58.000000	63.000000	65.000000	70.000000	100.000000	100.000000	100.000000
100	59.000000	64.000000	66.000000	71.000000	101.000000	101.000000	101.000000
101	60.000000	65.000000	67.000000	72.000000	103.000000	103.000000	103.000000
102	61.000000	66.000000	68.000000	73.000000	104.000000	104.000000	104.000000
103	62.000000	67.000000	69.000000	74.000000	105.000000	105.000000	105.000000
104	63.000000	68.000000	70.000000	75.000000	107.000000	107.000000	107.000000
105	64.000000	69.000000	71.000000	76.000000	108.000000	108.000000	108.000000
106	65.000000	70.000000	72.000000	77.000000	110.000000	110.000000	110.000000
107	66.000000	71.000000	73.000000	78.000000	111.000000	111.000000	111.000000
108	67.000000	72.000000	74.000000	79.000000	113.000000	113.000000	113.000000
109	68.000000	73.000000	75.000000	80.000000	114.000000	114.000000	114.000000
110	69.000000	74.000000	76.000000	81.000000	115.000000	115.000000	115.000000
111	70.000000	75.000000	77.000000	82.000000	117.000000	117.000000	117.000000
112	71.000000	76.000000	78.000000	83.000000	118.000000	118.000000	118.000000
113	72.000000	77.000000	79.000000	84.000000	120.000000	120.000000	120.000000
114	73.000000	78.000000	80.000000	85.000000	121.000000	121.000000	121.000000
115	74.000000	79.000000	81.000000	86.000000	122.000000	122.000000	122.000000
116	75.000000	80.000000	82.000000	87.000000	124.000000	124.000000	124.000000
117	76.000000	81.000000	83.000000	88.000000	125.000000	125.000000	125.000000
118	77.000000	82.000000	84.000000	89.000000	127.000000	127.000000	127.000000
119	78.000000	83.000000	85.000000	90.000000	128.000000	128.000000	128.000000
